state,timestamp,new_votes,votes_biden
Alaska (EV: 3),2020-11-09 19:14:19.894,18939,7779.0
Alaska (EV: 3),2020-11-04 18:40:57.265,39556,11448.0
Alaska (EV: 3),2020-11-04 13:28:22.084,0,0.0
Arizona (EV: 11),2020-11-10 02:18:36.294,6397,3127.0
Arizona (EV: 11),2020-11-10 00:51:18.070,600,232.0
Arizona (EV: 11),2020-11-10 00:02:51.838,591,84.0
Arizona (EV: 11),2020-11-09 22:23:05.122,3437,1049.0
Arizona (EV: 11),2020-11-09 21:15:22.385,787,189.0
Arizona (EV: 11),2020-11-09 18:40:02.044,424,250.0
Arizona (EV: 11),2020-11-09 18:30:48.110,145,114.0
Arizona (EV: 11),2020-11-09 18:16:49.347,124,57.0
Arizona (EV: 11),2020-11-09 00:49:30.725,327,180.0
Arizona (EV: 11),2020-11-08 23:35:28.185,16739,6748.0
Arizona (EV: 11),2020-11-08 23:08:18.531,6862,3814.0
Arizona (EV: 11),2020-11-08 19:32:33.789,3038,1922.0
Arizona (EV: 11),2020-11-08 17:39:24.168,244,93.0
Arizona (EV: 11),2020-11-08 02:21:07.053,2279,1087.0
Arizona (EV: 11),2020-11-08 01:03:56.554,7119,2287.0
Arizona (EV: 11),2020-11-07 21:31:25.705,1022,852.0
Arizona (EV: 11),2020-11-07 20:09:53.566,303,121.0
Arizona (EV: 11),2020-11-07 16:03:57.371,40407,16954.0
Arizona (EV: 11),2020-11-07 16:01:43.045,1750,920.0
Arizona (EV: 11),2020-11-07 15:45:35.768,6995,2524.0
Arizona (EV: 11),2020-11-07 02:12:08.623,7463,0.0
Arizona (EV: 11),2020-11-07 02:02:37.666,71932,32383.0
Arizona (EV: 11),2020-11-07 01:28:19.231,612,296.0
Arizona (EV: 11),2020-11-07 00:43:16.391,2976,647.0
Arizona (EV: 11),2020-11-06 23:43:16.543,2172,768.0
Arizona (EV: 11),2020-11-06 23:16:34.639,204,69.0
Arizona (EV: 11),2020-11-06 23:13:45.463,8881,4258.0
Arizona (EV: 11),2020-11-06 23:07:08.306,4846,2435.0
Arizona (EV: 11),2020-11-06 22:24:11.877,1031,326.0
Arizona (EV: 11),2020-11-06 20:30:39.158,6666,2730.0
Arizona (EV: 11),2020-11-06 19:53:53.320,1086,366.0
Arizona (EV: 11),2020-11-06 19:25:09.947,3957,711.0
Arizona (EV: 11),2020-11-06 16:13:06.432,1386,798.0
Arizona (EV: 11),2020-11-06 16:03:11.367,61789,29103.0
Arizona (EV: 11),2020-11-06 05:33:02.003,5713,3056.0
Arizona (EV: 11),2020-11-06 03:37:12.105,1180,797.0
Arizona (EV: 11),2020-11-06 02:07:55.159,75314,32273.0
Arizona (EV: 11),2020-11-06 01:33:55.993,1957,475.0
Arizona (EV: 11),2020-11-06 01:15:19.823,2485,1897.0
Arizona (EV: 11),2020-11-06 01:04:29.192,28344,13431.0
Arizona (EV: 11),2020-11-06 00:55:18.438,5990,2509.0
Arizona (EV: 11),2020-11-06 00:46:52.571,5169,1376.0
Arizona (EV: 11),2020-11-06 00:35:53.742,7456,1745.0
Arizona (EV: 11),2020-11-05 23:07:42.238,12227,4729.0
Arizona (EV: 11),2020-11-05 20:55:45.764,1185,478.0
Arizona (EV: 11),2020-11-05 19:53:24.061,184,36.0
Arizona (EV: 11),2020-11-05 19:49:33.652,632,145.0
Arizona (EV: 11),2020-11-05 19:21:26.906,1936,1062.0
Arizona (EV: 11),2020-11-05 07:45:16.653,0,0.0
Arizona (EV: 11),2020-11-05 07:43:01.704,62002,25524.0
Arizona (EV: 11),2020-11-05 02:03:34.937,75537,30832.0
Arizona (EV: 11),2020-11-05 00:44:49.776,5614,2706.0
Arizona (EV: 11),2020-11-04 20:28:27.938,785,146.0
Arizona (EV: 11),2020-11-04 19:44:32.496,66,0.0
Arizona (EV: 11),2020-11-04 18:56:14.325,210,110.0
Arizona (EV: 11),2020-11-04 15:52:05.608,0,0.0
Arizona (EV: 11),2020-11-04 14:47:51.946,126904,44544.0
Arizona (EV: 11),2020-11-04 13:28:22.084,0,0.0
Georgia (EV: 16),2020-11-10 18:52:44.410,432,356.0
Georgia (EV: 16),2020-11-10 17:13:34.033,1,1.0
Georgia (EV: 16),2020-11-10 15:56:49.898,9,5.0
Georgia (EV: 16),2020-11-10 15:49:15.122,0,0.0
Georgia (EV: 16),2020-11-10 14:57:59.615,230,47.0
Georgia (EV: 16),2020-11-10 14:26:39.560,6,1.0
Georgia (EV: 16),2020-11-10 13:29:26.390,300,198.0
Georgia (EV: 16),2020-11-10 02:51:07.718,3,1.0
Georgia (EV: 16),2020-11-10 01:56:52.616,1324,1130.0
Georgia (EV: 16),2020-11-09 23:36:23.197,11,3.0
Georgia (EV: 16),2020-11-09 22:48:00.720,1,1.0
Georgia (EV: 16),2020-11-09 22:32:18.112,366,98.0
Georgia (EV: 16),2020-11-09 22:23:05.122,80,33.0
Georgia (EV: 16),2020-11-09 21:35:44.283,12,8.0
Georgia (EV: 16),2020-11-09 21:00:14.724,232,115.0
Georgia (EV: 16),2020-11-09 20:51:25.244,1267,1123.0
Georgia (EV: 16),2020-11-09 20:27:00.335,3,2.0
Georgia (EV: 16),2020-11-09 20:19:13.927,1,1.0
Georgia (EV: 16),2020-11-09 19:37:52.526,25,0.0
Georgia (EV: 16),2020-11-09 19:30:10.037,5,2.0
Georgia (EV: 16),2020-11-09 19:14:19.894,24,6.0
Georgia (EV: 16),2020-11-09 18:48:37.963,25,4.0
Georgia (EV: 16),2020-11-09 18:16:49.347,61,45.0
Georgia (EV: 16),2020-11-09 17:43:52.920,60,41.0
Georgia (EV: 16),2020-11-09 17:17:21.054,81,42.0
Georgia (EV: 16),2020-11-09 16:53:08.079,3,2.0
Georgia (EV: 16),2020-11-09 16:41:11.554,134,63.0
Georgia (EV: 16),2020-11-09 15:57:34.311,706,421.0
Georgia (EV: 16),2020-11-09 14:36:14.143,8,2.0
Georgia (EV: 16),2020-11-09 14:19:03.126,168,125.0
Georgia (EV: 16),2020-11-09 13:43:13.226,5,2.0
Georgia (EV: 16),2020-11-08 19:38:22.468,409,284.0
Georgia (EV: 16),2020-11-08 13:13:11.647,1,1.0
Georgia (EV: 16),2020-11-08 07:21:37.655,2246,1654.0
Georgia (EV: 16),2020-11-07 23:56:07.779,1982,1804.0
Georgia (EV: 16),2020-11-07 19:46:05.651,125,62.0
Georgia (EV: 16),2020-11-07 19:22:23.461,726,508.0
Georgia (EV: 16),2020-11-07 18:15:31.934,160,88.0
Georgia (EV: 16),2020-11-07 07:46:03.308,5110,3992.0
Georgia (EV: 16),2020-11-07 05:41:05.142,74,55.0
Georgia (EV: 16),2020-11-07 02:58:27.591,163,135.0
Georgia (EV: 16),2020-11-07 02:24:13.261,188,144.0
Georgia (EV: 16),2020-11-07 02:20:08.486,465,291.0
Georgia (EV: 16),2020-11-07 01:40:56.185,58,22.0
Georgia (EV: 16),2020-11-07 01:28:19.231,153,85.0
Georgia (EV: 16),2020-11-07 01:23:52.527,336,175.0
Georgia (EV: 16),2020-11-07 01:05:24.698,46,13.0
Georgia (EV: 16),2020-11-07 00:43:16.391,210,130.0
Georgia (EV: 16),2020-11-07 00:16:18.632,1120,418.0
Georgia (EV: 16),2020-11-07 00:06:00.521,12,2.0
Georgia (EV: 16),2020-11-06 23:58:16.465,53,25.0
Georgia (EV: 16),2020-11-06 23:47:09.126,213,161.0
Georgia (EV: 16),2020-11-06 23:43:16.543,11,2.0
Georgia (EV: 16),2020-11-06 23:26:05.585,9,2.0
Georgia (EV: 16),2020-11-06 23:16:34.639,24,9.0
Georgia (EV: 16),2020-11-06 23:13:45.463,14,8.0
Georgia (EV: 16),2020-11-06 23:07:08.306,3,0.0
Georgia (EV: 16),2020-11-06 22:58:48.781,22,10.0
Georgia (EV: 16),2020-11-06 22:50:34.370,26,14.0
Georgia (EV: 16),2020-11-06 22:43:08.386,88,55.0
Georgia (EV: 16),2020-11-06 22:35:03.624,5,2.0
Georgia (EV: 16),2020-11-06 22:32:23.502,29,20.0
Georgia (EV: 16),2020-11-06 22:26:37.126,98,43.0
Georgia (EV: 16),2020-11-06 22:24:11.877,456,177.0
Georgia (EV: 16),2020-11-06 22:14:55.472,94,49.0
Georgia (EV: 16),2020-11-06 22:03:00.523,7151,4971.0
Georgia (EV: 16),2020-11-06 21:54:35.427,61,24.0
Georgia (EV: 16),2020-11-06 21:39:06.880,18,9.0
Georgia (EV: 16),2020-11-06 21:22:20.448,37,28.0
Georgia (EV: 16),2020-11-06 21:14:54.182,23,7.0
Georgia (EV: 16),2020-11-06 21:06:01.641,111,24.0
Georgia (EV: 16),2020-11-06 20:42:56.702,195,110.0
Georgia (EV: 16),2020-11-06 20:34:48.762,5,4.0
Georgia (EV: 16),2020-11-06 20:25:45.237,26,5.0
Georgia (EV: 16),2020-11-06 20:08:18.087,8,4.0
Georgia (EV: 16),2020-11-06 19:53:53.320,1,1.0
Georgia (EV: 16),2020-11-06 19:46:07.235,302,174.0
Georgia (EV: 16),2020-11-06 19:22:14.276,1,0.0
Georgia (EV: 16),2020-11-06 19:11:02.226,20,6.0
